ticker,market,name,sector
0050.TW,TW,元大台灣50,ETF
0056.TW,TW,元大高股息,ETF
006208.TW,TW,富邦台50,ETF
00713.TW,TW,元大台灣高息低波,ETF
00878.TW,TW,國泰永續高股息,ETF
00919.TW,TW,群益台灣精選高息,ETF
00929.TW,TW,復華台灣科技優息,ETF
00940.TW,TW,元大台灣價值高息,ETF
009816.TW,TW,凱基台灣TOP50,ETF
1216.TW,TW,統一,consumer
1234.TW,TW,黑松,consumer
2002.TW,TW,中鋼,steel
2303.TW,TW,聯電,semiconductor
2308.TW,TW,台達電,electronics
2317.TW,TW,鴻海,electronics
2330.TW,TW,台積電,semiconductor
2379.TW,TW,瑞昱,semiconductor
2382.TW,TW,廣達,computer
2412.TW,TW,中華電,telecom
2454.TW,TW,聯發科,semiconductor
2880.TW,TW,華南金,financial
2881.TW,TW,富邦金,financial
2882.TW,TW,國泰金,financial
2891.TW,TW,中信金,financial
2892.TW,TW,第一金,financial
3711.TW,TW,日月光投控,semiconductor
